Random Search, 60, -, 331.2709629501277, 60.014925
Random Search, 300, -, 334.4336518259373, 300.0071485
Random Search, 1200, -, 339.3502871876713, 1200.0047785
Local Search, 60, -, 319.89681276987926, 106.576587
Local Search, 300, -, 345.28134809009475, 315.455612
Local Search, 1200, -, 359.37117532338993, 1251.25466
Tabu Search, 60, 10, 10, 328.1894368165251, 104.760097
Tabu Search, 60, 10, 25, 329.26633058140015, 108.478565
Tabu Search, 60, 10, 50, 325.0674647899285, 107.9375445
Tabu Search, 60, 25, 10, 330.86889907061254, 106.8990725
Tabu Search, 60, 25, 25, 329.17831364684054, 103.5895815
Tabu Search, 60, 25, 50, 328.43063970834277, 103.7725405
Tabu Search, 60, 50, 10, 321.60680847102753, 104.0016165
Tabu Search, 60, 50, 25, 334.45363860283663, 103.3634495
Tabu Search, 60, 50, 50, 322.3092543609275, 103.6355915
Tabu Search, 300, 10, 10, 346.93329593057433, 318.628709
Tabu Search, 300, 10, 25, 345.4091778475183, 315.5060625
Tabu Search, 300, 10, 50, 345.36057316909574, 312.5310025
Tabu Search, 300, 25, 10, 347.5225102411823, 323.0389535
Tabu Search, 300, 25, 25, 336.687154322705, 309.945996
Tabu Search, 300, 25, 50, 343.84992369038383, 312.3784515
Tabu Search, 300, 50, 10, 343.0472211114851, 318.082838
Tabu Search, 300, 50, 25, 346.4885400113352, 313.066312
Tabu Search, 300, 50, 50, 346.24738460413016, 318.2784855
Tabu Search, 1200, 10, 10, 359.46314799427586, 1206.157431
Tabu Search, 1200, 10, 25, 359.5911562273393, 1201.2590385
Tabu Search, 1200, 10, 50, 359.62146622055695, 1229.538463
Tabu Search, 1200, 25, 10, 359.7248754182836, 1221.523012
Tabu Search, 1200, 25, 25, 359.52918320930223, 1244.4954955
Tabu Search, 1200, 25, 50, 359.67865196597745, 1250.404157
Tabu Search, 1200, 50, 10, 359.69967308974276, 1221.5464645
Tabu Search, 1200, 50, 25, 359.50884723840437, 1227.023142
Tabu Search, 1200, 50, 50, 359.67533665432404, 1210.9192855
Genetic Algorithm pmx transposition, 60, 10, 359.18376136623647, 60.211517
Genetic Algorithm pmx transposition, 60, 25, 358.8698611036288, 60.683038
Genetic Algorithm pmx transposition, 60, 50, 356.18256673322384, 61.1733365
Genetic Algorithm pmx transposition, 300, 10, 360.36162101018164, 300.31492
Genetic Algorithm pmx transposition, 300, 25, 360.3749960669728, 300.7597385
Genetic Algorithm pmx transposition, 300, 50, 360.1665847661658, 301.2791265
Genetic Algorithm pmx transposition, 1200, 10, 360.4071059719096, 1200.329962
Genetic Algorithm pmx transposition, 1200, 25, 360.4071059719096, 1200.812552
Genetic Algorithm pmx transposition, 1200, 50, 360.4071059719096, 1201.0289755
